video_id,title,channel,published_at,views,likes,comments
FFtPSPByBmk,Bhagavad Gita Telugu All Chapters #chaganti #ChagantiKoteswaraRao #SpiritualGurus,Spiritual Gurus,2020-06-27T15:24:40Z,2815533,42396,1059
B8C38FSvd6Q,భారతంలో ధర్మ సూక్ష్మాలు Part-6 | Bharathamlo DharmaSukshmalu | Garikapati Narasimharao Latest Speech,Sri Garikipati Narasimha Rao Official,2023-02-12T13:45:43Z,573892,5726,186
